,file,input_text,target_text
2492,CMU\AFGP-2002-600002-Trans.xml,classify:sabotage|||Chemical sabotage,true
2493,CMU\AFGP-2002-600002-Trans.xml,classify:Spying|||Spying,true
2494,CMU\AFGP-2002-600002-Trans.xml,classify:Recruiting|||Recruiting a member of society,true
2495,CMU\AFGP-2002-600002-Trans.xml,classify:a|||Recruiting a member of society,other
2496,CMU\AFGP-2002-600002-Trans.xml,classify:member|||Recruiting a member of society,other
2497,CMU\AFGP-2002-600002-Trans.xml,classify:of|||Recruiting a member of society,other
2498,CMU\AFGP-2002-600002-Trans.xml,classify:society|||Recruiting a member of society,other
2499,CMU\AFGP-2002-600002-Trans.xml,classify:Planting|||Planting a mole within society,true
2500,CMU\AFGP-2002-600002-Trans.xml,classify:a|||Planting a mole within society,other
2501,CMU\AFGP-2002-600002-Trans.xml,classify:mole|||Planting a mole within society,other
2502,CMU\AFGP-2002-600002-Trans.xml,classify:within|||Planting a mole within society,other
2503,CMU\AFGP-2002-600002-Trans.xml,classify:society|||Planting a mole within society,other
2504,CMU\AFGP-2002-600002-Trans.xml,classify:Spying|||Spying surveillance operation,true
2505,CMU\AFGP-2002-600002-Trans.xml,classify:surveillance|||Spying surveillance operation,other
2506,CMU\AFGP-2002-600002-Trans.xml,classify:operation|||Spying surveillance operation,true
2507,CMU\AFGP-2002-600002-Trans.xml,classify:Stealing|||Stealing,true
2508,CMU\AFGP-2002-600002-Trans.xml,classify:Pests|||Pests:,true
2509,CMU\AFGP-2002-600002-Trans.xml,classify:Poisonous|||Poisonous such as snakes and scorpions,other
2510,CMU\AFGP-2002-600002-Trans.xml,classify:such|||Poisonous such as snakes and scorpions,other
2511,CMU\AFGP-2002-600002-Trans.xml,classify:as|||Poisonous such as snakes and scorpions,other
2512,CMU\AFGP-2002-600002-Trans.xml,classify:snakes|||Poisonous such as snakes and scorpions,true
2513,CMU\AFGP-2002-600002-Trans.xml,classify:and|||Poisonous such as snakes and scorpions,other
2514,CMU\AFGP-2002-600002-Trans.xml,classify:scorpions|||Poisonous such as snakes and scorpions,other
2515,CMU\AFGP-2002-600002-Trans.xml,classify:Harmful|||Harmful such as rats and cockroaches,other
2516,CMU\AFGP-2002-600002-Trans.xml,classify:such|||Harmful such as rats and cockroaches,other
2517,CMU\AFGP-2002-600002-Trans.xml,classify:as|||Harmful such as rats and cockroaches,other
2518,CMU\AFGP-2002-600002-Trans.xml,classify:rats|||Harmful such as rats and cockroaches,true
2519,CMU\AFGP-2002-600002-Trans.xml,classify:and|||Harmful such as rats and cockroaches,other
2520,CMU\AFGP-2002-600002-Trans.xml,classify:cockroaches|||Harmful such as rats and cockroaches,other
2521,CMU\AFGP-2002-600002-Trans.xml,classify:Sickening|||Sickening such as mosquitoes,other
2522,CMU\AFGP-2002-600002-Trans.xml,classify:such|||Sickening such as mosquitoes,other
2523,CMU\AFGP-2002-600002-Trans.xml,classify:as|||Sickening such as mosquitoes,other
2524,CMU\AFGP-2002-600002-Trans.xml,classify:mosquitoes|||Sickening such as mosquitoes,true
2525,CMU\AFGP-2002-600002-Trans.xml,"classify:In|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",other
2526,CMU\AFGP-2002-600002-Trans.xml,"classify:order|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",other
2527,CMU\AFGP-2002-600002-Trans.xml,"classify:to|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",other
2528,CMU\AFGP-2002-600002-Trans.xml,"classify:face|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",unknown
2529,CMU\AFGP-2002-600002-Trans.xml,"classify:these|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",other
2530,CMU\AFGP-2002-600002-Trans.xml,"classify:dangers|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",true
2531,CMU\AFGP-2002-600002-Trans.xml,"classify:we|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",other
2532,CMU\AFGP-2002-600002-Trans.xml,"classify:resort|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",true
2533,CMU\AFGP-2002-600002-Trans.xml,"classify:to|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",other
2534,CMU\AFGP-2002-600002-Trans.xml,"classify:a|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",other
2535,CMU\AFGP-2002-600002-Trans.xml,"classify:plan|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",true
2536,CMU\AFGP-2002-600002-Trans.xml,"classify:which|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",other
2537,CMU\AFGP-2002-600002-Trans.xml,"classify:includes|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",true
2538,CMU\AFGP-2002-600002-Trans.xml,"classify:the|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",other
2539,CMU\AFGP-2002-600002-Trans.xml,"classify:external|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",other
2540,CMU\AFGP-2002-600002-Trans.xml,"classify:factors|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",true
2541,CMU\AFGP-2002-600002-Trans.xml,"classify:the|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",other
2542,CMU\AFGP-2002-600002-Trans.xml,"classify:internal|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",other
2543,CMU\AFGP-2002-600002-Trans.xml,"classify:factors|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",true
2544,CMU\AFGP-2002-600002-Trans.xml,"classify:and|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",other
2545,CMU\AFGP-2002-600002-Trans.xml,"classify:spying|||In order to face these dangers, we resort to a plan which includes the external factors, the internal factors and spying.",true
