,file,input_text,target_text
4200,CMU\AFGP-2002-600045-Trans.xml,classify:with|||An Islamic group with an aim of Jihad.,other
4201,CMU\AFGP-2002-600045-Trans.xml,classify:an|||An Islamic group with an aim of Jihad.,other
4202,CMU\AFGP-2002-600045-Trans.xml,classify:aim|||An Islamic group with an aim of Jihad.,true
4203,CMU\AFGP-2002-600045-Trans.xml,classify:of|||An Islamic group with an aim of Jihad.,other
4204,CMU\AFGP-2002-600045-Trans.xml,classify:Jihad|||An Islamic group with an aim of Jihad.,true
4205,CMU\AFGP-2002-600045-Trans.xml,"classify:Carrying|||Carrying out Jihad is the main reason the members of AL-QAEDA have gathered , together with performing the different duties of Islam as much as possible, shouldering together the duty of Jihad and preparing the efficient duties during conflicts.",true
4206,CMU\AFGP-2002-600045-Trans.xml,"classify:out|||Carrying out Jihad is the main reason the members of AL-QAEDA have gathered , together with performing the different duties of Islam as much as possible, shouldering together the duty of Jihad and preparing the efficient duties during conflicts.",other
4207,CMU\AFGP-2002-600045-Trans.xml,"classify:Jihad|||Carrying out Jihad is the main reason the members of AL-QAEDA have gathered , together with performing the different duties of Islam as much as possible, shouldering together the duty of Jihad and preparing the efficient duties during conflicts.",true
4208,CMU\AFGP-2002-600045-Trans.xml,"classify:is|||Carrying out Jihad is the main reason the members of AL-QAEDA have gathered , together with performing the different duties of Islam as much as possible, shouldering together the duty of Jihad and preparing the efficient duties during conflicts.",true
4209,CMU\AFGP-2002-600045-Trans.xml,"classify:the|||Carrying out Jihad is the main reason the members of AL-QAEDA have gathered , together with performing the different duties of Islam as much as possible, shouldering together the duty of Jihad and preparing the efficient duties during conflicts.",other
4210,CMU\AFGP-2002-600045-Trans.xml,"classify:main|||Carrying out Jihad is the main reason the members of AL-QAEDA have gathered , together with performing the different duties of Islam as much as possible, shouldering together the duty of Jihad and preparing the efficient duties during conflicts.",other
4211,CMU\AFGP-2002-600045-Trans.xml,"classify:reason|||Carrying out Jihad is the main reason the members of AL-QAEDA have gathered , together with performing the different duties of Islam as much as possible, shouldering together the duty of Jihad and preparing the efficient duties during conflicts.",other
