,file,input_text,target_text
2672,CMU\AFGP-2002-600002-Trans.xml,classify:it|||It is preferable it has its own private access in order to protect it and control it better.,other
2673,CMU\AFGP-2002-600002-Trans.xml,classify:better|||It is preferable it has its own private access in order to protect it and control it better.,other
2674,CMU\AFGP-2002-600002-Trans.xml,classify:Second|||Second: ,other
2675,CMU\AFGP-2002-600002-Trans.xml,classify:Protection|||Protection Methods,true
2676,CMU\AFGP-2002-600002-Trans.xml,classify:Methods|||Protection Methods,other
2677,CMU\AFGP-2002-600002-Trans.xml,classify:Outside|||Outside Protection:,other
2678,CMU\AFGP-2002-600002-Trans.xml,classify:Protection|||Outside Protection:,true
2679,CMU\AFGP-2002-600002-Trans.xml,"classify:Barriers|||Barriers, walls, parking lots.",other
2680,CMU\AFGP-2002-600002-Trans.xml,"classify:walls|||Barriers, walls, parking lots.",other
2681,CMU\AFGP-2002-600002-Trans.xml,"classify:parking|||Barriers, walls, parking lots.",other
2682,CMU\AFGP-2002-600002-Trans.xml,"classify:lots|||Barriers, walls, parking lots.",other
2683,CMU\AFGP-2002-600002-Trans.xml,classify:b.Human|||b.Human protection,other
2684,CMU\AFGP-2002-600002-Trans.xml,classify:protection|||b.Human protection,true
2685,CMU\AFGP-2002-600002-Trans.xml,classify:Patrols|||- Patrols close to locations,true
2686,CMU\AFGP-2002-600002-Trans.xml,classify:close|||- Patrols close to locations,other
2687,CMU\AFGP-2002-600002-Trans.xml,classify:to|||- Patrols close to locations,other
2688,CMU\AFGP-2002-600002-Trans.xml,classify:locations|||- Patrols close to locations,other
2689,CMU\AFGP-2002-600002-Trans.xml,classify:Patrols|||- Patrols distant from the location.,true
2690,CMU\AFGP-2002-600002-Trans.xml,classify:distant|||- Patrols distant from the location.,other
2691,CMU\AFGP-2002-600002-Trans.xml,classify:from|||- Patrols distant from the location.,other
2692,CMU\AFGP-2002-600002-Trans.xml,classify:the|||- Patrols distant from the location.,other
2693,CMU\AFGP-2002-600002-Trans.xml,classify:location|||- Patrols distant from the location.,other
2694,CMU\AFGP-2002-600002-Trans.xml,classify:c.Animal|||c.Animal protection: ,other
2695,CMU\AFGP-2002-600002-Trans.xml,classify:protection|||c.Animal protection: ,true
2696,CMU\AFGP-2002-600002-Trans.xml,classify:Electronic|||Electronic protection: ,other
2697,CMU\AFGP-2002-600002-Trans.xml,classify:protection|||Electronic protection: ,true
2698,CMU\AFGP-2002-600002-Trans.xml,"classify:Cameras|||Cameras, alarm equipment, night vision equipment...etc.",other
2699,CMU\AFGP-2002-600002-Trans.xml,"classify:alarm|||Cameras, alarm equipment, night vision equipment...etc.",other
2700,CMU\AFGP-2002-600002-Trans.xml,"classify:equipment|||Cameras, alarm equipment, night vision equipment...etc.",other
2701,CMU\AFGP-2002-600002-Trans.xml,"classify:night|||Cameras, alarm equipment, night vision equipment...etc.",other
2702,CMU\AFGP-2002-600002-Trans.xml,"classify:vision|||Cameras, alarm equipment, night vision equipment...etc.",other
2703,CMU\AFGP-2002-600002-Trans.xml,"classify:equipment...etc|||Cameras, alarm equipment, night vision equipment...etc.",other
2704,CMU\AFGP-2002-600002-Trans.xml,classify:Document|||(Document page 3),other
2705,CMU\AFGP-2002-600002-Trans.xml,classify:page|||(Document page 3),other
2706,CMU\AFGP-2002-600002-Trans.xml,classify:3|||(Document page 3),other
2707,CMU\AFGP-2002-600002-Trans.xml,classify:Permanent|||Permanent Protection:,other
2708,CMU\AFGP-2002-600002-Trans.xml,classify:Protection|||Permanent Protection:,true
2709,CMU\AFGP-2002-600002-Trans.xml,classify:Barriers|||*Barriers,other
2710,CMU\AFGP-2002-600002-Trans.xml,classify:They|||They are erected according to the nature of the location.,other
2711,CMU\AFGP-2002-600002-Trans.xml,classify:are|||They are erected according to the nature of the location.,other
2712,CMU\AFGP-2002-600002-Trans.xml,classify:erected|||They are erected according to the nature of the location.,true
2713,CMU\AFGP-2002-600002-Trans.xml,classify:according|||They are erected according to the nature of the location.,true
2714,CMU\AFGP-2002-600002-Trans.xml,classify:to|||They are erected according to the nature of the location.,other
2715,CMU\AFGP-2002-600002-Trans.xml,classify:the|||They are erected according to the nature of the location.,other
2716,CMU\AFGP-2002-600002-Trans.xml,classify:nature|||They are erected according to the nature of the location.,other
2717,CMU\AFGP-2002-600002-Trans.xml,classify:of|||They are erected according to the nature of the location.,other
2718,CMU\AFGP-2002-600002-Trans.xml,classify:the|||They are erected according to the nature of the location.,other
2719,CMU\AFGP-2002-600002-Trans.xml,classify:location|||They are erected according to the nature of the location.,other
2720,CMU\AFGP-2002-600002-Trans.xml,classify:They|||They can take one of the following forms:,other
2721,CMU\AFGP-2002-600002-Trans.xml,classify:can|||They can take one of the following forms:,other
2722,CMU\AFGP-2002-600002-Trans.xml,classify:take|||They can take one of the following forms:,true
2723,CMU\AFGP-2002-600002-Trans.xml,classify:one|||They can take one of the following forms:,other
2724,CMU\AFGP-2002-600002-Trans.xml,classify:of|||They can take one of the following forms:,other
2725,CMU\AFGP-2002-600002-Trans.xml,classify:the|||They can take one of the following forms:,other
2726,CMU\AFGP-2002-600002-Trans.xml,classify:following|||They can take one of the following forms:,other
2727,CMU\AFGP-2002-600002-Trans.xml,classify:forms|||They can take one of the following forms:,other
2728,CMU\AFGP-2002-600002-Trans.xml,classify:Insert|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,true
2729,CMU\AFGP-2002-600002-Trans.xml,classify:4|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2730,CMU\AFGP-2002-600002-Trans.xml,classify:inch|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2731,CMU\AFGP-2002-600002-Trans.xml,classify:pipes|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2732,CMU\AFGP-2002-600002-Trans.xml,classify:in|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2733,CMU\AFGP-2002-600002-Trans.xml,classify:the|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2734,CMU\AFGP-2002-600002-Trans.xml,classify:ground|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
2735,CMU\AFGP-2002-600002-Trans.xml,classify:at|||Insert 4 inch pipes in the ground at 50 centimeters apart and a height of one meter then fill them with cement.,other
