,file,input_text,target_text
2635,CMU\AFGP-2002-600002-Trans.xml,"classify:choose|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",true
2636,CMU\AFGP-2002-600002-Trans.xml,"classify:a|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2637,CMU\AFGP-2002-600002-Trans.xml,"classify:location|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2638,CMU\AFGP-2002-600002-Trans.xml,"classify:next|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2639,CMU\AFGP-2002-600002-Trans.xml,"classify:to|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2640,CMU\AFGP-2002-600002-Trans.xml,"classify:residential|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2641,CMU\AFGP-2002-600002-Trans.xml,"classify:areas|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2642,CMU\AFGP-2002-600002-Trans.xml,"classify:for|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2643,CMU\AFGP-2002-600002-Trans.xml,"classify:the|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2644,CMU\AFGP-2002-600002-Trans.xml,"classify:same|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2645,CMU\AFGP-2002-600002-Trans.xml,"classify:reason|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",true
2646,CMU\AFGP-2002-600002-Trans.xml,"classify:as|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2647,CMU\AFGP-2002-600002-Trans.xml,"classify:above|||4.is not possible, then choose a location next to residential areas, for the same reason as above.",other
2648,CMU\AFGP-2002-600002-Trans.xml,classify:5.should|||5.should be away from airports and main highways.,true
2649,CMU\AFGP-2002-600002-Trans.xml,classify:be|||5.should be away from airports and main highways.,unknown
2650,CMU\AFGP-2002-600002-Trans.xml,classify:away|||5.should be away from airports and main highways.,other
2651,CMU\AFGP-2002-600002-Trans.xml,classify:from|||5.should be away from airports and main highways.,other
2652,CMU\AFGP-2002-600002-Trans.xml,classify:airports|||5.should be away from airports and main highways.,other
2653,CMU\AFGP-2002-600002-Trans.xml,classify:and|||5.should be away from airports and main highways.,other
2654,CMU\AFGP-2002-600002-Trans.xml,classify:main|||5.should be away from airports and main highways.,other
2655,CMU\AFGP-2002-600002-Trans.xml,classify:highways|||5.should be away from airports and main highways.,other
2656,CMU\AFGP-2002-600002-Trans.xml,classify:It|||It is preferable it has its own private access in order to protect it and control it better.,other
2657,CMU\AFGP-2002-600002-Trans.xml,classify:is|||It is preferable it has its own private access in order to protect it and control it better.,true
2658,CMU\AFGP-2002-600002-Trans.xml,classify:preferable|||It is preferable it has its own private access in order to protect it and control it better.,other
2659,CMU\AFGP-2002-600002-Trans.xml,classify:it|||It is preferable it has its own private access in order to protect it and control it better.,other
2660,CMU\AFGP-2002-600002-Trans.xml,classify:has|||It is preferable it has its own private access in order to protect it and control it better.,true
2661,CMU\AFGP-2002-600002-Trans.xml,classify:its|||It is preferable it has its own private access in order to protect it and control it better.,other
2662,CMU\AFGP-2002-600002-Trans.xml,classify:own|||It is preferable it has its own private access in order to protect it and control it better.,other
2663,CMU\AFGP-2002-600002-Trans.xml,classify:private|||It is preferable it has its own private access in order to protect it and control it better.,other
2664,CMU\AFGP-2002-600002-Trans.xml,classify:access|||It is preferable it has its own private access in order to protect it and control it better.,other
2665,CMU\AFGP-2002-600002-Trans.xml,classify:in|||It is preferable it has its own private access in order to protect it and control it better.,other
2666,CMU\AFGP-2002-600002-Trans.xml,classify:order|||It is preferable it has its own private access in order to protect it and control it better.,other
2667,CMU\AFGP-2002-600002-Trans.xml,classify:to|||It is preferable it has its own private access in order to protect it and control it better.,other
2668,CMU\AFGP-2002-600002-Trans.xml,classify:protect|||It is preferable it has its own private access in order to protect it and control it better.,unknown
2669,CMU\AFGP-2002-600002-Trans.xml,classify:it|||It is preferable it has its own private access in order to protect it and control it better.,other
2670,CMU\AFGP-2002-600002-Trans.xml,classify:and|||It is preferable it has its own private access in order to protect it and control it better.,other
2671,CMU\AFGP-2002-600002-Trans.xml,classify:control|||It is preferable it has its own private access in order to protect it and control it better.,unknown
2672,CMU\AFGP-2002-600002-Trans.xml,classify:it|||It is preferable it has its own private access in order to protect it and control it better.,other
2673,CMU\AFGP-2002-600002-Trans.xml,classify:better|||It is preferable it has its own private access in order to protect it and control it better.,other
2674,CMU\AFGP-2002-600002-Trans.xml,classify:Second|||Second: ,other
2675,CMU\AFGP-2002-600002-Trans.xml,classify:Protection|||Protection Methods,true
2676,CMU\AFGP-2002-600002-Trans.xml,classify:Methods|||Protection Methods,other
2677,CMU\AFGP-2002-600002-Trans.xml,classify:Outside|||Outside Protection:,other
2678,CMU\AFGP-2002-600002-Trans.xml,classify:Protection|||Outside Protection:,true
2679,CMU\AFGP-2002-600002-Trans.xml,"classify:Barriers|||Barriers, walls, parking lots.",other
2680,CMU\AFGP-2002-600002-Trans.xml,"classify:walls|||Barriers, walls, parking lots.",other
2681,CMU\AFGP-2002-600002-Trans.xml,"classify:parking|||Barriers, walls, parking lots.",other
2682,CMU\AFGP-2002-600002-Trans.xml,"classify:lots|||Barriers, walls, parking lots.",other
2683,CMU\AFGP-2002-600002-Trans.xml,classify:b.Human|||b.Human protection,other
2684,CMU\AFGP-2002-600002-Trans.xml,classify:protection|||b.Human protection,true
2685,CMU\AFGP-2002-600002-Trans.xml,classify:Patrols|||- Patrols close to locations,true
2686,CMU\AFGP-2002-600002-Trans.xml,classify:close|||- Patrols close to locations,other
2687,CMU\AFGP-2002-600002-Trans.xml,classify:to|||- Patrols close to locations,other
2688,CMU\AFGP-2002-600002-Trans.xml,classify:locations|||- Patrols close to locations,other
2689,CMU\AFGP-2002-600002-Trans.xml,classify:Patrols|||- Patrols distant from the location.,true
2690,CMU\AFGP-2002-600002-Trans.xml,classify:distant|||- Patrols distant from the location.,other
2691,CMU\AFGP-2002-600002-Trans.xml,classify:from|||- Patrols distant from the location.,other
2692,CMU\AFGP-2002-600002-Trans.xml,classify:the|||- Patrols distant from the location.,other
2693,CMU\AFGP-2002-600002-Trans.xml,classify:location|||- Patrols distant from the location.,other
2694,CMU\AFGP-2002-600002-Trans.xml,classify:c.Animal|||c.Animal protection: ,other
2695,CMU\AFGP-2002-600002-Trans.xml,classify:protection|||c.Animal protection: ,true
2696,CMU\AFGP-2002-600002-Trans.xml,classify:Electronic|||Electronic protection: ,other
2697,CMU\AFGP-2002-600002-Trans.xml,classify:protection|||Electronic protection: ,true
2698,CMU\AFGP-2002-600002-Trans.xml,"classify:Cameras|||Cameras, alarm equipment, night vision equipment...etc.",other
2699,CMU\AFGP-2002-600002-Trans.xml,"classify:alarm|||Cameras, alarm equipment, night vision equipment...etc.",other
2700,CMU\AFGP-2002-600002-Trans.xml,"classify:equipment|||Cameras, alarm equipment, night vision equipment...etc.",other
2701,CMU\AFGP-2002-600002-Trans.xml,"classify:night|||Cameras, alarm equipment, night vision equipment...etc.",other
2702,CMU\AFGP-2002-600002-Trans.xml,"classify:vision|||Cameras, alarm equipment, night vision equipment...etc.",other
2703,CMU\AFGP-2002-600002-Trans.xml,"classify:equipment...etc|||Cameras, alarm equipment, night vision equipment...etc.",other
