,file,input_text,target_text
160,CMU/AFGP-2002-600002-Trans.xml,"lu factuality: If the location is in a highly dangerous zone, then two parallel fences should be built to be 3 meters apart.","If the location [is|false] in a highly dangerous zone, then two parallel fences [should|true] be [built|unknown] to [be|true] 3 meters apart."
161,CMU/AFGP-2002-600002-Trans.xml,lu factuality: The space between the two fences could be mined in order to prevent infiltration.,The space between the two fences [could|true] be [mined|unknown] in order to [prevent|unknown] infiltration.
162,CMU/AFGP-2002-600002-Trans.xml,lu factuality: It is preferable the fence be square or rectangular in shape.,It [is|true] preferable the fence [be|true] square or rectangular in shape.
163,CMU/AFGP-2002-600002-Trans.xml,lu factuality: A circular shaped fence is harder to protect because of hidden angles.,A circular shaped fence [is|true] harder to [protect|true] because of hidden angles.
164,CMU/AFGP-2002-600002-Trans.xml,lu factuality: Parking areas are of importance because most sabotage operations are done with cars.,Parking areas [are|true] of importance because most sabotage [operations|true] are [done|true] with cars.
165,CMU/AFGP-2002-600002-Trans.xml,"lu factuality: Therefore, it is important to adopt following:","Therefore, it [is|true] important to [adopt|true] following:"
166,CMU/AFGP-2002-600002-Trans.xml,lu factuality: The parking lot should be 50 meters away from the fence.,The parking lot [should|true] [be|unknown] 50 meters away from the fence.
167,CMU/AFGP-2002-600002-Trans.xml,"lu factuality: If the nature of the terrain does not allow it, then it should be on the other side of the road.","If the nature of the terrain does not [allow|false] it, then it [should|true] [be|unknown] on the other side of the road."
168,CMU/AFGP-2002-600002-Trans.xml,"lu factuality: Under no circumstance a car, even that which belongs to the location should be permitted to park next to the fence.","Under no [circumstance|true] a car, even that which [belongs|true] to the location [should|true] be [permitted|unknown] to [park|true] next to the fence."
169,CMU/AFGP-2002-600002-Trans.xml,lu factuality: Assign a parking spot for visitors which would not make them feel insulted.,[Assign|true] a parking spot for visitors which [would|true] not [make|unknown] them feel [insulted|true].
170,CMU/AFGP-2002-600002-Trans.xml,lu factuality: Usually such parking spots are on the side of the lot.,Usually such parking spots [are|true] on the side of the lot.
171,CMU/AFGP-2002-600002-Trans.xml,lu factuality: Inside parking lot should be strictly designated to the location's cars in order to protect them from sabotage.,Inside parking lot [should|true] be strictly [designated|unknown] to the location's cars in order to [protect|unknown] them from [sabotage|true].
172,CMU/AFGP-2002-600002-Trans.xml,"lu factuality: Also, the visitors with high security clearance should be designated parking spots inside the location.","Also, the visitors with high security [clearance|true] [should|true] be [designated|unknown] parking spots inside the location."
173,CMU/AFGP-2002-600002-Trans.xml,lu factuality: Cars parked inside the location should have their front facing the fence so they could be used quickly in case of emergency.,Cars [parked|true] inside the location [should|true] [have|unknown] their front [facing|true] the fence so they [could|true] be [used|unknown] quickly in case of emergency.
174,CMU/AFGP-2002-600002-Trans.xml,lu factuality: All parking regulations of the location should be followed strictly followed.,All parking regulations of the location [should|true] be [followed|unknown] strictly followed.
