,file,input_text,target_text
167,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: If the nature of the terrain does not allow it, then it should be on the other side of the road.","(should, certain); (be, unknown); (allow, uncertain)"
168,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: Under no circumstance a car, even that which belongs to the location should be permitted to park next to the fence.","(belongs, certain); (should, certain); (circumstance, certain); (park, certain); (permitted, unknown)"
169,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Assign a parking spot for visitors which would not make them feel insulted.,"(would, certain); (insulted, certain); (Assign, certain); (make, unknown)"
170,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Usually such parking spots are on the side of the lot.,"(are, certain)"
171,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Inside parking lot should be strictly designated to the location's cars in order to protect them from sabotage.,"(sabotage, certain); (should, certain); (protect, unknown); (designated, unknown)"
172,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: Also, the visitors with high security clearance should be designated parking spots inside the location.","(clearance, certain); (should, certain); (designated, unknown)"
173,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Cars parked inside the location should have their front facing the fence so they could be used quickly in case of emergency.,"(could, certain); (should, certain); (facing, certain); (parked, certain); (used, unknown); (have, unknown)"
174,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: All parking regulations of the location should be followed strictly followed.,"(should, certain); (followed, unknown)"
175,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Some buses should be exposed and others should be camouflaged.,"(should, certain); (should, certain); (camouflaged, unknown); (exposed, unknown)"
176,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The buses should have the following:,"(should, certain); (have, unknown)"
177,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Wireless equipment to report dangerous activities,"(activities, certain); (report, unknown)"
178,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Writing materials to jot down suspicious activities or license plate numbers.,"(activities, certain); (jot, unknown)"
179,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Sand bags arounf the busses to protect them from gun fire.,"(fire, certain); (protect, unknown)"
180,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: These are camouflaged to look like commercial companies' vehicles or traveling salesmen's vehicles.,"(camouflaged, certain); (look, unknown)"
181,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: They are entrusted with the task of tracking down the movement of strangers who are approaching the location.,"(task, certain); (entrusted, certain); (approaching, certain); (movement, certain); (tracking, certain)"
182,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: The objective of having kiosks is they serve as communication points between the guards and the visitors or those who are approaching the building and deal with them according to their requirements.,"(objective, certain); (having, certain); (is, certain); (serve, certain); (points, certain); (approaching, certain); (deal, certain); (according, certain); (requirements, certain)"
183,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Kiosks should be placed at entrance gates to check visitors when approaching the building.,"(should, certain); (approaching, certain); (placed, unknown)"
184,CMU/AFGP-2002-600002-Trans.xml,LU Factuality: Kiosks should be placed at key important locations where24 hour security watch is required.,"(should, certain); (required, certain); (placed, unknown)"
185,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: The Kiosk should be designed to stand all weather conditions, and provide a full coverage of the area it is placed at.","(placed, certain); (should, certain); (coverage, certain); (stand, unknown); (provide, unknown); (designed, unknown)"
186,CMU/AFGP-2002-600002-Trans.xml,"LU Factuality: The Kiosk should be equipped with wireless communication equipment, and a mechanist to open and close the gate automatically.","(should, certain); (equipped, unknown); (open, unknown)"
