|input_text|target_text
0|source target factuality: On the other hand, it's turning out to be another very bad financial week for Asia.|"On the other hand, it's [turning|true] out to be another very [bad|true] financial week for Asia."
1|source target factuality: The financial assistance from the World Bank and the International Monetary Fund are not helping.|"The financial [assistance|true] from the World Bank and the International Monetary Fund are not [helping|false]."
2|source target factuality: In the last twenty four hours, the value of the Indonesian stock market has fallen by twelve percent.|"In the last twenty four hours, the value of the Indonesian stock market has [fallen|true] by twelve percent."
3|source target factuality: The Indonesian currency has lost twenty six percent of its value.|"The Indonesian currency has [lost|true] twenty six percent of its value."
4|source target factuality: In Singapore, stocks hit a five year low.|"In Singapore, stocks [hit|true] a five year low."
5|source target factuality: And in Hong Kong, a three percent drop.|"And in Hong Kong, a three percent [drop|true]."
6|source target factuality: More problems in Hong Kong for a place, for an economy, that many experts thought was once invincible.|"More problems in Hong Kong for a place, for an economy, that many experts [thought|true][problems|true] in Hong Kong for a place, for an economy, that many experts thought was once invincible."
7|source target factuality: Not that long ago, before the Chinese takeover, the news about real estate here was that the sky was the limit the highest prices in the world.|"Not that long ago, before the Chinese [takeover|true], the [news|true] about real estate here was that the sky was the limit the highest prices in the world."
8|source target factuality: So when Wong Kwan spent seventy million dollars for this house, he thought it was a great deal.|"So when Wong Kwan [spent|true] seventy million dollars for this house, he [thought|true] it was a great deal."
9|source target factuality: He sold the property to five buyers and said he'd double his money.|"He [sold|true] the property to five buyers and [said|true] he'd double his money."
10|source target factuality: Now with new construction under way, three of his buyers have backed out.|"Now with new [construction|true] under [way|true], three of his buyers have [backed|true] out."
11|source target factuality: And Wong Kwan will be lucky to break even.|"And Wong Kwan will be lucky to [break|possibly false] even."
12|source target factuality: All across Hong Kong, the property market has crashed.|"All across Hong Kong, the property market has [crashed|true]."
13|source target factuality: Pamela Pak owns eight condominiums here.|"Pamela Pak [owns|true] eight condominiums here."
14|source target factuality: Pak ca n't find buyers.|"Pak ca n't [find|false] buyers."
15|source target factuality: She estimates her properties, worth a hundred thirty million dollars in October, are worth only half that now.|"She [estimates|true] her properties, [worth|true] a hundred thirty million dollars in October, are worth only half that now."
16|source target factuality: They believe ah it will be always up going up and up ah forever.|"They [believe|true] ah it will be always up going up and up ah forever."
17|source target factuality: Nobody believe this any more.|"Nobody [believe|false] this any more."
18|source target factuality: But in the past three months, stocks have plunged, interest rates have soared and the downturn all across Asia means that people are not spending here.|"But in the past three months, stocks have [plunged|true], interest rates have [soared|true] and the [downturn|true] all across Asia means that people are not [spending|false] here."
19|source target factuality: Hotels are only thirty percent full.|"Hotels are only [thirty|true] percent full."
20|source target factuality: You can get seventy percent discounts at the shopping malls.|"You can [get|unknown] seventy percent [discounts|unknown] at the shopping malls."
21|source target factuality: Still, there are few buyers.|"Still, there are [few|true] buyers."
22|source target factuality: And at the big brokerage houses, after ten years of boom, they're talking about layoffs.|"And at the big brokerage houses, after ten years of [boom|true], they're [talking|true] about [layoffs|possibly true]."
